Pos,Program,Switches used,TAR,Q6600,Compressed,Compression,Comp time,Decomp time,Efficiency
27,PIMPLE2,(none),Y,N,79628157,74.83,2195,2207,29654
28,WinUDA 0.291,mode-0,N,Y,79710669,74.8,1178,1180,16031
29,NanoZip 0.09a,(none),N,Y,79905525,74.74,58.4,14.1,504
31,FreeARC 0.666,(none),N,Y,81234951,74.32,24.1,11.8,289
32,DURILCA light 0.5,-m800 -t1,N,Y,81666474,74.19,155,76,1951
33,EPM r9,-m800,Y,Y,81934909,74.1,980,988,17126
34,CMM4 0.2b,26,Y,Y,82435458,73.94,302,307,5603
35,EPM r9,(none),Y,Y,82727852,73.85,903,904,17172
36,Ocamyd 1.66 test1,-m8 -s0,Y,N,82880385,73.8,4666,4664,90177
37,BIT 0.7,(none),Y,Y,83321888,73.66,305,298,6121
38,SQUEEZ 5.63,Ultra 32Mb M E Solid,N,Y,83565058,73.59,181,29.6,2196
39,Quark 0.95r,-l7 -d25,Y,N,83673567,73.55,2095,38,22513
40,RZM 0.07h,(none),Y,Y,84030374,73.44,244,19.9,2898
41,SBC 0.970 rev3,-m3 -b62,N,Y,84736176,73.21,102,40,1686
42,Quark 0.95r,(none),Y,N,84741314,73.21,702,37,8782
43,Ultra7z Opt 0.05,(none),N,Y,84932335,73.15,406,40.2,5416
44,UHARC 0.6b,(none),N,Y,84954506,73.15,209,33,2945
45,SBC 0.970 rev3,-b9,N,Y,85740265,72.9,60,33,1235
46,FreeARC 0.666,-m3,N,Y,85905882,72.85,13.6,10.5,326
47,ASH 07,-m800 -o60,Y,Y,86225632,72.74,3641,3639,102003
48,SBC 0.970 rev3,(none),N,Y,86245288,72.74,57,33,1264
49,WINZIP 14,Zipx Best Method,N,Y,86276462,72.73,95,27.5,1726
50,WinRAR 4.1b3,Best solid,N,Y,86658210,72.61,48.7,22.5,1047
51,KGB 1.1 (PAQ6),(normal),N,Y,86878458,72.54,1133,1157,34498
52,7-Zip 9.25a,Ultra LZMA2 64Mb 3thr,N,Y,87198046,72.44,91.1,7.8,1544
53,SQUEEZ 5.63,Max 8Mb M E Solid,N,Y,87695358,72.28,155.7,19.2,2885
55,COMPRESSIA 1.0b,sol dict 15 Mb,N,N,88152784,72.13,86,62,2568
56,CTXf 0.75,-me,N,Y,88357992,72.07,98.3,75.4,3084
57,WinACE 2.69,Max 4096Kb solid ace20,N,Y,88485215,72.03,108,12.3,2166
58,ACE 2.6,-m5 -d4096,N,Y,88486031,72.03,109,12.9,2195
59,7-Zip 9.25a,Norm LZMA2 16Mb ws=32 4thr,N,Y,88580416,72,49.2,7.1,1024
60,StuffIt 14.0,Auto Inline L9 M30 BP E,N,Y,89310142,71.77,35.4,89.8,2471
61,TC 5.2 dev2,(none),Y,Y,89464778,71.72,458,460,18428
62,PIM 2.90,Best + filters,N,Y,89639939,71.66,299,90,7962
63,StuffIt 14.0,BWT L3 M23 BP,N,Y,89683391,71.65,32.3,78.2,2273
64,WinACE 2.69,Norm solid ace20,N,Y,89742715,71.63,74,12.3,1787
66,DGCA 1.10,(none),N,N,89834304,71.6,83,34,2447
67,CTXf 0.75,(none),N,Y,90038884,71.54,74.7,51.7,2704
68,StuffIt 14.0,Auto filetype L16 M30 BP E,N,Y,90125515,71.51,30.1,67,2098
69,777 0.04b1,-mg -mu32,N,N,90229477,71.48,1067,591,36231
70,WinRAR 4.1b3,Normal solid,N,Y,90361866,71.44,36.2,4.7,907
71,777 0.04b1,(none),N,N,90544382,71.38,1215,633,41820
72,NanoZip 0.09a,-cDp,N,Y,90638348,71.35,20.7,9.1,681
73,WinRK 3.1.2,Fastest,N,Y,90821411,71.29,30.9,23.7,1274
74,LZPX(J) 1.2h,-8,Y,Y,91451359,71.09,119,118,5931
75,FreeARC 0.666,-m2,N,Y,91650028,71.03,6.9,7.8,376
76,WinRAR 4.1b3,Normal,N,Y,91995231,70.92,29.7,4.6,912
77,Bee 0.7.9 bld 0316,-m3 -d8 -s,N,N,92003980,70.92,654,658,34912
78,LZPX(J) 1.2h,(none),Y,Y,92075183,70.9,110,111,5927
79,FlashZIP 0.99b8,-m2 -c7,N,Y,92635469,70.72,65.3,16.7,2340
80,Bee 0.7.9 bld 0316,-m2 -d8,N,N,93103491,70.57,362,368,21947
81,CSC 3.2a6,-m3,Y,Y,93295468,70.51,35.8,9.2,1382
82,UFA 0.04b1,-mg -mx -mu32,N,N,93428292,70.47,521,138,20540
83,DST 0.91b,-me,Y,Y,93568347,70.42,275,185,14562
84,LZTurbo 0.95,-59,N,Y,93646784,70.4,126,7.2,4254
85,SQUEEZ 5.63,Norm 4Mb M E Solid,N,Y,94082622,70.26,54.3,19.2,2463
86,UFA 0.04b1,(none),N,N,94175638,70.23,350,42,13275
87,FlashZIP 0.99b8,-m1,N,Y,94690080,70.07,20.2,12.9,1187
88,ACB 2.00c,u,N,N,95055289,69.95,1056,1107,80761
89,BOA 0.58b,-m15 -s,N,N,95080468,69.95,773,786,58372
90,BMA 1.35b,-m16m -ax -mx,N,N,95284418,69.88,101,61,6204
91,PPMN 1.00b1 km,-O9 -M:50 -DA,Y,Y,95513817,69.81,365,365,28680
92,LZPM 0.16,(none),Y,Y,95525051,69.8,448,20.8,18441
93,BSSC 0.95a,(none),Y,Y,95811218,69.71,53.9,25.3,3216
94,PPMVC 1.2,-o16 -m256,N,N,96525071,69.49,128,147,12087
95,PPMd var J rev.1,-m256 -o16,N,Y,96737515,69.42,73,80,6885
96,DURILCA light 0.5,(none),N,Y,96823565,69.39,71,80,6861
97,BOA 0.58b,(none),N,N,96857515,69.38,596,620,55457
98,BIX 1.00 b7,-mdG -s,N,Y,97079141,69.31,152,11.5,7642
99,PPMVC 1.2,(none),N,N,97152520,69.29,82,101,8624
100,WINIMP 1.21,1 BEST MM 16Mb B=1020Kb,N,Y,97237727,69.26,72.3,14.1,4110
101,SCM 0.01b,(none),Y,Y,97373958,69.22,4615,4645,447233
102,GRZipII 0.2.4,-b8m -a,Y,N,97484136,69.19,48,43,4449
103,7-Zip 9.25a,Max PPMD 64Mb ws=16,N,Y,97573744,69.16,75.9,80.3,7713
104,CABARC 1.00.0106,-m LZX:21,N,Y,97691444,69.12,187,13.4,10026
105,Blizzard 0.24b,(none),Y,N,98296282,68.93,60,52,5992
106,MNZIP,(none),Y,N,98488045,68.87,111,28,7597
107,BMA 1.35b,(none),N,N,98728900,68.79,54,40,5277
108,WinHKI 1.74,HKI2 max,N,N,98771075,68.78,123,126,14043
110,QC 0.050,(none),Y,Y,99055044,68.69,308,121,24970
111,BALZ 1.15,ex,Y,Y,99123753,68.67,108,21.3,7584
112,UHARC 0.6b,-mz -md32768 -mm+,N,Y,99251157,68.63,28.6,36,3843
114,WINIMP 1.21,1 Normal MM 4Mb B=600Kb,N,Y,99638862,68.5,34.2,14.1,3000
115,BIX 1.00 b7,(none),N,Y,99694432,68.49,101,11.7,7042
116,BioArc 1.9,Ultra,N,N,99699058,68.49,66,76,8878
117,BA 1.01,(none),Y,Y,99873098,68.43,58.5,40,6278
118,M03,(none),Y,N,99934651,68.41,1356,221,101205
119,Tornado 0.4a,-11,Y,Y,99959838,68.4,87,8.1,6120
120,BioArc 1.9,Normal,N,N,100012777,68.39,64,74,8933
121,WinHKI 1.74,HKI2 norm,N,N,100208006,68.32,91,94,12238
122,UHBC 1.0,-b4m -m3,Y,Y,100623220,68.19,190,160,24246
123,DARK 0.51,-b128m,N,N,100785450,68.14,61,39,7053
124,DARK 0.51,(none),N,N,100877062,68.11,60,38,6983
125,BruteCM 0.1d,(none),Y,N,100902600,68.1,107,160,19078
126,UHBC 1.0,(none),Y,Y,100990062,68.08,148,118,19192
127,JAR 1.02,(none),N,N,101169071,68.02,37,9,3386
128,PPMN 1.00b1 km,(none),Y,Y,101181370,68.02,232,234,34345
129,QLFC 6.6w,BS=8388608,N,N,101217544,68.01,693,33,53722
130,EPC 1.0,(none),Y,Y,101258670,67.99,92.6,100.3,14339
132,GRZipII 0.2.4,(none),Y,N,101686370,67.86,48,45,7249
133,M99 2.2.1,-m 512m,Y,N,101746662,67.84,86,79,12948
134,ZZIP 0.36c,-mx -a -6m,N,N,102392643,67.63,1598,41,138179
135,BCM 0.12,-b16,Y,Y,102450338,67.62,69.5,52.7,10369
136,BSC 3.0.0,(none),Y,Y,102598249,67.57,19.6,15.3,3010
137,PPMd var J rev.1,(none),N,Y,102743525,67.52,49,56,9204
138,QLFC 6.6w,(none),N,N,102938276,67.46,343,30,33410
139,BWMonstr 0.01,(none),Y,Y,103073407,67.42,6010,3372,853058
140,WinTurtle 1.60,Solid,N,N,103129672,67.4,31,33,5856
141,CABARC 1.00.0106,-m LZX:17,N,Y,103148256,67.39,89,13.2,9370
142,DACT 0.8.42,(none),Y,Y,103378718,67.32,333,19.4,33146
143,DST 0.91b,(none),Y,Y,103386374,67.32,104,37,13274
144,WinTurtle 1.60,(none),N,N,103567658,67.26,28,30,5571
145,ABC 2.4,(none),Y,Y,103669744,67.23,424,93,50225
146,ZZIP 0.36c,(none),N,N,103845404,67.17,706,41,73998
147,Bicom 1.01,(none),Y,N,103940513,67.14,826,838,166586
148,M1 0.3b-1,text2.txt,Y,Y,104377676,67.01,75,79,16184
149,PACKET 0.91a,-m6 -s9,Y,Y,104545891,66.95,153,7.6,17195
150,QazaR 0.0 pre5,-d9 -l7,Y,Y,104867105,66.85,362,99,51151
151,YBS 0.03f,(none),Y,Y,105074083,66.79,51,34.9,9753
152,ASD 0.2.0,-m5 -mdg,N,N,105109740,66.77,2425,163,294995
153,RZIP 2.1,-9,Y,N,105305418,66.71,65,26,10600
154,RZIP 2.1,(none),Y,N,105417723,66.68,56,25,9554
155,UC II 3.05,(max compress),N,Y,105625496,66.61,157,10.5,20218
156,Tornado 0.4a,(none),Y,Y,105742922,66.57,13.9,8.1,2690
157,SZIP 1.12,-b41 -o40,Y,N,105793183,66.56,373,77,55336
158,RINGS 1.6,5,Y,Y,105796514,66.56,28.8,28.4,7036
159,CHILE 0.3d,(none),Y,N,106072542,66.47,345,63,51752
160,BBB ver1,m512,Y,N,106364761,66.38,12294,511,1677772
161,UC II 3.05,-TT,N,Y,106370880,66.38,73,11.1,11027
162,WinHKI 1.74,HKI1 max,N,N,106391218,66.37,64,18,10776
163,SZIP 1.12,(none),Y,N,106567179,66.31,55,30,11390
164,ShipInBottle 1.0 b17,alg:ppm :mem:128,N,N,106742422,66.26,1620,1635,444745
165,QUAD 1.12,x,Y,N,106968291,66.19,71,24,13310
166,AI 1.1,-mt,N,N,107365151,66.06,27097,37736,9492408
167,YBS 0.03f,-m16m,Y,Y,107462346,66.03,73.8,41.3,17035
168,PPMX 0.07,(none),Y,Y,107575582,66,106,111,32523
169,HA 0.999b,a21,N,N,107637414,65.98,373,141,77566
170,BZIP2 1.0.5,(none),Y,Y,107720923,65.95,48.7,14.1,9565
171,HOOK 1.4,800,Y,Y,107788942,65.93,128,124,38673
172,QazaR 0.0 pre5,(none),Y,Y,108165979,65.81,66.6,44,17699
173,QUAD 1.12,(none),Y,N,108215434,65.79,44,24,10942
174,M99 2.2.1,(none),Y,N,108294876,65.77,53,31,13636
175,ASD 0.2.0,(none),N,N,109101360,65.51,158,56,37992
176,Ocamyd 1.66 test1,-m8 -s2,Y,Y,109200105,65.48,286,288,103027
177,KZIP 14-APR-2007,(none),N,Y,110694932,65.01,1778,11.3,379128
178,TarsaLZP 21Aug2007,(none),Y,N,110994614,64.91,39,47,18839
179,Comprox 0.3.0,e20,Y,Y,111391904,64.79,63,34.2,22252
180,SEMONE 0.6 b2,(none),Y,N,111442686,64.77,81,14,21871
181,BZP 0.3,(none),N,N,111485802,64.76,16,17,7634
182,WINZIP 14,Enhanced Deflate,N,Y,111503290,64.75,47.9,6.5,12609
183,LHARK 0.4d,-tob,N,Y,111870915,64.64,59,11.1,16924
184,THOR 0.96,e5,Y,Y,112275112,64.51,12.6,3.8,4141
185,SLUG X,(none),Y,Y,112286383,64.51,4.4,5.2,2427
186,MAR,-g,N,Y,112554786,64.42,112,6.5,30866
187,TURTLE 0.07,(none),Y,N,112646749,64.39,37,35,18947
188,LHARK 0.4d,(none),N,Y,113439063,64.14,26.5,10.1,10517
189,XPv5,c2,Y,Y,113554398,64.11,564,114.5,197471
190,LZ2A,-Cb12 -Szd26,Y,N,113588897,64.09,138,19,45869
191,LZTurbo 0.95,-43,Y,Y,113898203,64,6.7,6.5,3991
192,PKZIP 2.50,-exx,N,Y,114022347,63.96,19.8,12.4,9871
193,ShipInBottle 1.0 b17,alg:lz,N,N,114051091,63.95,481,22,154691
194,LZXQ 0.4,normal,Y,N,114492987,63.81,71,108,57817
195,PKZIP 2.50,(none),N,Y,114501263,63.81,16,11.7,8955
197,VuZip 1.8,Max,N,N,114679608,63.75,37,7,14509
198,DZip 2.90,-9,N,Y,114688490,63.75,44.5,11.7,18551
199,EAZEL 1.0,(best),N,N,114728370,63.73,41,8,16246
200,CODEC 3.21,(none),N,N,114767275,63.72,27,20,15650
201,GZIP 1.2.4,-9,Y,Y,114857977,63.69,35.1,9.9,15136
202,ESP 1.92,(none),N,Y,115164577,63.6,22.3,11.1,11623
203,AIN 2.32,-m1,N,Y,115178082,63.59,22.6,13.2,12477
204,VuZip 1.8,Default,N,N,115261129,63.57,19,7,9145
205,DZip 2.90,(none),N,Y,115269882,63.56,18.4,10.6,10211
206,LZ2A,(none),Y,N,115298983,63.55,120,20,49452
207,File2Pack 2.0,(none),N,Y,115305901,63.55,16.3,10.2,9368
208,EAZEL 1.0,(normal),N,N,115309762,63.55,20,7,9549
209,GZIP 1.2.4,(none),Y,Y,115442964,63.51,15.5,10.2,9224
210,AIN 2.32,(none),N,Y,115587115,63.46,17.7,10.5,10285
211,BCArchive 1.08.7,(none),N,N,115821124,63.39,19,14,12352
212,ARJ32 3.15,(none),N,Y,116107265,63.3,25.8,10.6,14064
213,ARJ 2.85,(none),N,Y,116109612,63.3,35,10.2,17469
214,WinXP (Built-in Zip),(none),N,Y,116324011,63.23,15.1,18.6,13338
215,aPLib 0.43,(none),N,N,117596762,62.83,253,7,118523
216,SR3a,(none),Y,N,118183199,62.64,23,26,23839
217,ALZip 7.0b1,(normal),N,N,118492877,62.54,17,8,12588
218,HPACK 0.79a,(none),N,N,120702014,61.85,377,31,262535
219,Etincelle RC2,(none),Y,Y,121778066,61.51,3.9,3.6,5438
220,SAR 1.0,(none),N,N,122067423,61.41,94,11,78621
221,SYMBRA 0.2,-m5,Y,N,122120558,61.4,1110,670,1340701
222,AR 1.0,(none),Y,Y,122147342,61.39,128.4,10.5,104931
223,Crush 0.01,cf,Y,Y,123090347,61.09,13.9,3.8,14847
224,DeepFreezer 1.06,(none),N,N,123350351,61.01,20,9,25038
225,Chaos Comp 3.0,(none),N,N,123681560,60.9,31,8,34932
226,YZX 0.04,-s,N,Y,123688701,60.9,30.7,23.2,48317
227,Ocamyd 1.66 test1,(none),Y,Y,124262690,60.72,226,229,434702
228,THOR 0.96,e3,Y,Y,124588656,60.62,3.8,3.9,7628
229,WINZIP 14,SuperFast,N,Y,125279057,60.4,9,6.4,16470
230,LCSSR 0.2,-l9 -b6,Y,N,126378787,60.05,2918,2785,6891230
231,ULZ 0.02,c6,Y,Y,127951181,59.55,30.8,3.7,49638
232,HYPER 2.5,(none),N,N,128439870,59.4,24,15,59241
233,LZOP 1.02rc1,-9,Y,Y,129601733,59.03,64,4.7,118720
234,Zhuff 0.2,(none),Y,Y,132430590,58.14,3.2,6.6,23183
235,LZTurbo 0.95,-22,Y,Y,132773818,58.03,2.7,5,18922
236,ARX 1.0,(none),N,N,133464199,57.81,35,11,122047
237,QuickLZ 1.40b9,mode3,N,Y,133973909,57.65,10.1,4.7,41553
238,CTW 0.1,(none),Y,N,134687380,57.43,2661,2851,16751159
239,Secura Archiver 1.7,(none),N,N,139876348,55.79,131,6,740640
240,CA-ZIP 3.4,(none),Y,Y,140247762,55.67,32.4,7.5,224784
241,AI 1.1,(none),N,N,140259735,55.66,3523,5846,52852078
242,QPress 0.38b,-L3,Y,Y,141194607,55.37,4.3,3.6,49438
243,QPress 0.38b,-L2,Y,Y,148070672,53.19,1.8,3.6,72496
244,LZC 0.08,2,Y,Y,149651909,52.7,13.9,5.7,313621
245,BriefLZ 1.04,(none),N,Y,151611876,52.08,5.2,7.9,260559
246,THOR 0.96,e1,Y,Y,151936954,51.97,1.9,3.6,113415
247,LZW 0.2,(none),Y,Y,153289520,51.55,154,5.7,3826627
248,LZOP 1.02rc1,-1,Y,Y,154993814,51.01,3.7,3.4,205556
249,LZOP 1.02rc1,(none),Y,Y,155389089,50.88,3.7,3.5,217801
250,QuickLZ 1.40b9,mode1,N,Y,156840006,50.42,2.1,5.6,273631
251,BigCrunch 0.4a1,(none),N,N,157502600,50.21,546,1476,77338794
252,CODER 1.1,-ew 4194304,N,N,158788621,49.81,330,108,19323559
253,SRANK 1.0,(none),Y,Y,164110929,48.12,7.3,7.8,1202732
254,WinXP (NTFS),(none),N,Y,190822529,39.68,5.4,7.4,19775154
255,TESTSET,,N,Y,316355757,0,0,0,0
