class,gui,program,source available,% weighted average,encoding time in seconds,decoding time in seconds,APP,AUDIO (WAV),CAMERA RAW,GUTENBERG,INSTALLER,MOBILE,PGM / PPM,SOURCES,XML,usual file extension,bit depth,cores,when released / developed,where developed (country),algorithms used,program age in years
CM,◦,ZCM 0.40 -m7 -r -s (2012) Francesco Nania,,110.91867,2169,2175,76787070,386870808,488572394,296469155,577436637,484983882,274060854,33890897,165529281,.zcm,win32,1,16-May-2012,Italy,Fast CM,2.11
CM,◦,ZPAQ 6.43 -method 67 ('13) Matt Mahoney,☺,111.06642,14152,,71858143,425023907,447161962,283234100,576625702,480925972,286197426,31386867,157682201,.zpaq,win64,8,16-Dec-2013,United States,Dedup. + Fast CM + filter,0.53
CM,GUI,WinRK 3.1.2 (ROLZ3) ('06) Malcolm Taylor,,111.10112,7416,2596,76614559,343812879,485395149,286131614,573646514,481541757,266877734,34882268,181306077,.rk,win64,4,1-Mar-2006,New Zealand,ROLZ-3 + PPM,8.32
CM,◦,CCMx 1.30c opt. 7 Christian Martelock,,111.37352,2760,2850,78398914,391606412,466979717,289869520,577169132,484047738,296599146,32892892,167908122,.ccmx,win32,1,24-Apr-2008,Germany,Fast CM + filter,6.17
CM,GUI,WinRK 3.1.2 (ROLZ2) ('06) Malcolm Taylor,,112.43209,7068,2446,79404688,345763924,497270881,286859957,586211755,484970039,266988020,35221720,182165440,.rk,win64,4,5-Feb-2012,New Zealand,ROLZ-3 + PPM,2.39
CM,◦,MCM 0.3 -9 (2013) Matthieu Chartier,,112.60664,4783,,82529921,450157372,458055272,283140276,577002867,482161433,294329466,32210270,156605126,.mcm,win32,1,17-Jun-2013,Canada,Fast CM,1.03
CM,◦,MCM 0.4 -9 (2013) Matthieu Chartier,☺,113.69469,4707,,83602512,451091291,462517672,286044317,578346969,482662407,300188192,32963389,158018013,.mcm,win32,1,23-Jul-2013,Canada,Fast CM,0.93
CM,GUI,NanoZip 0.09 -co -m2g ('11) Sami Runsas,,113.79406,476,,81589626,347884435,491875984,299055780,579100338,485878580,277080042,38903203,185674185,.nz,win64,4,4-Nov-2011,Finland,BWT + LZT + filter,2.64
CM,GUI,FreeARC 0.67 (2012) ultra Bulat Zigashin,☺,113.98933,2091,,80135168,351107079,501293683,302192145,578708723,490303204,303462080,34886587,184182322,.arc,win32,2,12-Dec-2012,Russia,Dedup. + LZMA + PPMd + GRZip + TTA + delta,1.54
CM,◦,PAQ9a -9 ('07) Matt Mahoney et al.,☺,114.07239,15702,16591,79385282,454055569,457915837,280356591,574254311,481186044,294809748,31283840,159137846,.paq9a,win32,1,31-Dec-2007,United States,LZP + Fast CM,6.49
CM,◦,LPAQ9m -9 (2009) Matt Mahoney et al.,☺,114.41153,11152,11947,82315624,483211343,466721795,283643675,574158259,483441042,298879799,31224332,149353612,.lpaq9m,win32,1,20-Feb-2009,USA + Russia,Fast CM,5.35
CM,◦,LPAQ9i -9 (2008) Matt Mahoney et al.,☺,114.46857,11191,12359,82714262,487740113,466891537,281229305,574033450,483245196,296361005,31263296,149804592,.lpaq9i,win32,1,27-Apr-2008,USA + Russia,Fast CM + E8E9,6.16
CM,◦,LPAQ7e -9 (2007) Matt Mahoney et al.,☺,114.83981,11071,11481,82483738,504932570,464634575,278351488,574136654,481952693,298708197,31143250,150172517,.lpaq7e,win32,1,31-Oct-2007,USA + Russia,Fast CM + E8E9,6.66
CM,◦,LPAQ4e -9 (2007) Matt Mahoney et al.,☺,115.34216,10865,11715,83789117,507404490,461784004,278771170,574253251,480992119,296982199,31636700,153118456,.lpaq4,win32,1,1-Oct-2007,USA + Russia,Fast CM + filter,6.74
CM,◦,TANGELO 2.0 (2013) Jan Ondrus,☺,115.42819,19933,,78906065,451394450,458817126,288474516,576488437,481671721,291703582,31314571,164118727,.tan,win32,1,6-Jul-2013,Czech Republic,Fast CM,0.97
CM,GUI,Precomp 0.4.3 + 7-ZIP 9.3.0 ultra 128MB,,116.42884,6491,,78762255,441043625,487151173,267535706,576683197,460935592,337122045,35800534,180044575,.7z,win32,1,2-Jan-2009,Russia,LZMA2lc4:128; PPMd:1024 o10 + delta:3,5.48
CM,◦,CMM4 0.2b 96 (2008) Christopher Mattern,☺,116.62104,5534,4843,84362230,510874018,468665303,286575129,578462992,483475436,303327118,32582554,164930949,.cmm4,win32,1,4-Jun-2008,Germany,Context Mixing,6.06
CM,◦,LPAQ1 -9 (2007) Matt Mahoney et al.,☺,116.86397,11332,12095,84488523,516330193,467019940,281496506,574106066,481430206,304463339,31930129,157883859,.lpaq1,win32,1,24-Jul-2007,United States,Fast CM,6.92
CM,GUI,UHARC 0.6b -mx/-m3 -mm+ U. Herklotz,,116.97022,8159,,80232277,395293930,477253880,301703146,576204183,485825646,292075855,35198987,203974516,.uha,win32,1,6-Feb-2005,Germany,PPM 50 MB + LZ + ARI 291 MB,9.39
CM,GUI,7-ZIP 9.3.0 LZMA2 ultra128:fb273:bt4:lc4,☺,117.06648,2830,1639,79500816,441035970,493043375,304617390,577098703,487440321,322709493,36126394,179406622,.7z,win64,4,7-Sep-2012,Russia,"LZMA2:128, PPMd:1024 o14, delta:3",1.8
LZMA,◦,BIT 0.7 LWCX -P=5 Osman Turan,,117.3227,6284,,85276158,510306657,468307527,287061074,578113802,483390665,303742288,32915199,168718324,.bit,win32,1,4-Jan-2009,Turkiye,Context Mixing,5.48
CM,GUI,UHARC 0.4 ('01) -mx/-m3 -mm+ U. Herklotz,,117.60932,5590,,83847245,397613629,478646282,304729847,582549377,485987428,293432096,36934509,212232106,.uha,win32,1,28-Dec-2001,Germany,LZP ALZ PPM,12.49
LZMA,◦,TANGELO 2.4 (2013) Jan Ondrus,☺,117.75499,3947,,90970960,522955272,475340089,272133582,577858048,459121106,318791327,33876178,174391732,.tan,win32,1,17-Aug-2013,Czech Republic,Fast CM,0.86
LZMA,◦,PPMonstr ver J -o16 -m1600 D. Shkarin,,117.78993,24383,24475,77709784,490752860,476341671,284281919,577945041,482786594,309513090,31490102,154192936,.pmm,win32,1,16-Feb-2006,Russia,PPM-II,8.36
LZMA,◦,SBC 0.970r3 -m3 -b63 -os Sami Makinen,,118.00548,2250,,97303748,352299035,473450475,304275096,582698288,485944367,304403688,38774613,194610863,.sbc,win64,1,11-Mar-2008,Finland,BWT + ARI,6.29
LZMA,◦,TANGELO 2.3 (2013) Jan Ondrus,☺,118.04697,3665,,89309602,516077838,474196801,290752195,577801308,484812825,312002309,33346539,172846758,.tan,win32,1,22-Jul-2013,Czech Republic,Fast CM,0.93
LZMA,GUI,Squeez 5.63 / SpeedCmd (32MB ultra) auto,,118.3857,7325,,85752271,361509947,489920850,298886419,577911802,483275656,355828299,40097449,185335396,.sqx,win64,1,11-May-2005,Germany,"LZR / PPM (o8, 768 MB) + filter",9.13
LZMA,◦,RZM 0.07e (2008) Christian Martelock,,118.43869,5095,,80746777,470056236,478724569,307929578,576714890,484783957,320968722,34837417,193711323,.rzm,win32,1,16-Mar-2008,Germany,64 MB sliding window ROLZ,6.28
LZMA,◦,REFLATE 0c1 (2012) Eugene Shelwien,☺,118.58749,10107,,76576376,535503906,486028153,304551121,494587185,474923533,349677414,33730570,193096414,.ref,win32,1,31-Dec-2011,Russia,ZLIB/JPEG recompressor + LZMA,2.49
LZMA,GUI,"Compressia 1.0b max, 15MB, english, solid Yaakov Gringeler",,118.88569,23753,,82086199,488772424,475960844,298548015,591134831,491043803,310841214,37257475,182328204,.car,win32,1,1-Mar-2003,Israel,BWT + ARI + PPM-II + filter,11.32
LZMA,◦,Packet 1.1 -h4 -b512 -mx Francesco Nania,,119.27314,3046,,85566387,400864727,481667787,313282760,574046330,485433113,297838031,38728339,215148334,.packet,win32,1,7-Dec-2013,Italy,LZ77 + Fast CM,0.55
LZMA,GUI,FLASHZIP 1.1.3 (2013) -r -s -mx3 -k7 -b1024,,119.31325,1667,,88961837,384619601,496852845,319261810,578923326,486803989,288721818,38740607,210064678,.flz,win32,1,5-Aug-2013,Italy,ROLZ + ARI,0.89
LZMA,GUI,FLASHZIP 1.1.0 (2012) -r -s -mx3 -k7 -b1024,,119.33399,1697,,88961837,384633518,497660006,319268847,578923326,486803989,288721818,38740447,210064678,.flz,win32,1,3-Dec-2012,Italy,ROLZ + ARI,1.56
LZMA,GUI,UHARC 0.6b -m3 -mm+ -md+ 32 MB U. Herklotz,,119.62002,8793,,84008979,396767348,486843544,330829476,576204182,486101118,292738127,38185525,218104700,.uha,win32,1,6-Feb-2005,Germany,ALZ3 291 MB,9.39
LZMA,GUI,STUFFIT 14.0.1.27 (2010) bit-perfect,,119.92363,2679,,95432555,403289660,484760105,271777543,585557564,452056163,344467525,39655270,200157791,.sitx,win64,8,8-Feb-2010,United States,LZARI 5:28 / PPM 16:30,4.38
LZMA,◦,MComp 2.00 -mf3x 600m (2008) M. Taylor,,119.96754,11171,,84823247,515406343,485310639,299880731,576103500,484900652,343864694,33861762,179927192,.mcomp,win64,1,23-Aug-2008,New Zealand,ROLZ-3,5.84
LZMA,GUI,WinRar 4.20 solid best force PPMd E. Roshal,,120.1895,3285,2183,92959368,408872338,487351765,305582289,592737914,490590092,319664733,38238952,192946122,.rar,win64,1,9-Jun-2012,Russia,PPM-II o9-128M + filter,2.05
LZMA,◦,BSC 3.1.0 -b1024r -m0 -e2 Ilya Grebnov,☺,120.59777,1069,650,106062384,413460698,504212594,294567520,585458040,490817414,324642920,38190522,167869306,.bsc,win64,8,8-Jul-2012,Russia,BWT + libdifsufsort + QLFC + CM + filter,1.97
LZMA,◦,BSC 3.1.0 -b1024rsca -m0 -e2 Ilya Grebnov,☺,120.78965,1319,,105153385,413450026,504454068,294567520,585458040,490817414,324577856,38261586,172050326,.bsc,win64,8,8-Jul-2012,Russia,BWT + libdifsufsort + QLFC + CM + filter,1.97
LZMA,◦,TC 5.2 Dev 2 (2007) Ilya Muravyov,,120.97694,9846,,88221049,533737274,477290425,293893106,581154502,484626306,316902047,36384661,185618928,.tc,win32,1,5-Feb-2007,Russia,Fast PAQ Weighting,7.39
LZMA,◦,PPMonstr ver I (2002) -o16 -m800 D. Shkarin,,121.08219,22427,15429,85932151,510674710,478413959,286529751,582155671,486867113,318828729,33346449,158192202,.pmm,win32,1,30-Apr-2002,Russia,PPM-II,12.16
LZMA,◦,BSC 3.1.0 -b1024rsca -m0 -H28 -M255 I. Grebnov,☺,121.31154,1288,,108172356,412185160,507255944,300897766,581534528,484920043,324387750,38202132,172066806,.bsc,win64,8,8-Jul-2012,Russia,LZP+BWT+libdifsufsort+QLFC + CM + filter,1.97
LZMA,◦,Blizzard 0.24 300m ('08) Chr. Martelock,,121.32574,,,98816831,502115581,492083648,293705230,582751906,485502585,306869116,38309760,171545984,.bliz,win32,1,30-Jun-2008,Germany,BWT + filterCM,5.99
LZMA,◦,LZPXJ 1.2h opt. 9 (2007) Ilya Muravyov,☺,121.35444,3430,,90121506,430775908,489930019,315898262,578386352,485829975,323753445,37803252,204385085,.lzpxj,win32,1,7-Mar-2007,Russia,LZ + ARI,7.3
LZMA,GUI,CTXf 0.75 pre-b1 (2003) -me -b L. Nikita,,121.50288,,,101856759,407913955,491460126,308122202,590693341,489051945,311183180,37513145,198221614,.cxf,win32,1,27-Sep-2003,Belarus,PPM-II + filter,10.75
LZMA,◦,Blizzard 0.24 30m ('08) Chr. Martelock,,122.24916,,,97991972,526871036,467663215,297266236,583452991,483739655,300975553,38031300,186228420,.bliz,win32,1,30-Jun-2008,Germany,BWT + filterCM,5.99
LZMA,GUI,WinRar 4.20 solid best auto filter E. Roshal,,122.58817,913,522,93212800,409067261,510033127,307792311,583840363,487787256,321392802,38231702,218410260,.rar,win64,8,3-May-2012,Russia,LZ77 + Huffman + PPM-II o9-128M,2.15
LZMA,GUI,BEE 0.7.9 -m3 -d9 A.Filinsky & M.Caruso,☺,122.6837,,,96006788,551429377,486258767,298267270,593584313,488392823,325177589,36045184,170393336,.bee,win32,1,23-Sep-2005,Russia,PPM,8.76
LZMA,GUI,DGCA 1.00 - 1.10e ('04-'06) Shin-ichi Tsuruta,,122.92189,2004,,111059712,399127808,460377360,309172160,588457568,483831216,297893488,39694096,210053344,.dgc,win32,1,1-Aug-2004,Japan,BWT + ARI,9.9
LZMA,◦,YZX 0.11 -r -s -m9 -b8 -h5 Francesco Nania,,122.97752,1455,,96926596,401535701,494529097,322515123,596487480,487188193,301389949,40203453,213795355,.yzx,win32,1,4-Jan-2012,Italy,LZKS,2.48
LZMA,GUI,PeaZip 3.3 .7z ultra + adv filters G. Tani,☺,123.09528,,,79557116,543048858,499251222,321073660,577113799,487604108,366073941,36178823,179928850,.7z,win64,2,14-Sep-2010,Russia,LZMA:128; PPMD:1536 o10,3.78
LZMA,◦,BCM 0.14 (2013) c1000 Ilya Muravyov,,123.60568,2137,,109064976,499127439,499199461,297005032,591413505,487250991,308769405,39017441,169142589,.bcm,win32,1,23-Jun-2013,Russia,BWT + CM,1.01
LZMA,◦,LZMA SDK 9.20 + LZMAREC E. Shelwien,☺,123.68326,,,86206329,532637848,488712409,305744176,576224449,484247497,361554908,35717780,196089049,.lzma,win32,1,28-Dec-2010,Russia,LZMA with better entropy coding,3.49
LZMA,◦,BBB 1.0 cm100 (2006) Matt Mahoney,,123.7266,17109,,108106941,514242745,479925123,299022344,588953967,485035191,303250005,38867037,176930184,.bbb,win32,1,31-Aug-2006,United States,BWT,7.82
LZMA,◦,M03 1.1 blocksize 1GB M.A. Maniscalco,,123.88802,4658,,107096473,517633014,505470065,296483301,589660415,489144884,319356247,37819153,167169555,.m03,win32,1,24-Oct-2011,United States,BWT,2.67
LZMA,◦,PPMd Jr1 sh8 -o16 -m1600 -c E. Shelwien,,124.09877,,,96927521,549847725,493046240,296677240,590076036,491288116,336818689,37054168,175321640,.pmd,win32,1,9-Dec-2008,Russia,"PPM-II (o16, m1600)",5.55
LZMA,◦,Durilca'light 0.5 -m800 -o32 Dmitry Shkarin,,124.10369,6173,,101735814,546893296,492566701,293867873,587588278,489455650,331538623,36285821,175973254,.dul,win32,1,1-Apr-2006,Russia,PPM-II + filter,8.24
LZMA,◦,M03 0.2 α (2009) 250 MB M.A. Maniscalco,,124.19914,,,108069738,522103606,494193746,296964823,589340653,486960489,318653295,37884010,171677206,.m03,win32,1,11-Oct-2009,United States,BWT,4.71
LZMA,◦,MComp 2.00 -mw -M400m (2008) M. Taylor,,124.21281,,,108270717,501899826,497994252,300046294,590697638,488567000,310736978,39029557,175148453,.mcomp,win64,1,23-Aug-2008,New Zealand,Experimental BWT 2000 MB,5.84
LZMA,◦,BCM 0.12 -b100 (2010) Ilya Muravyov,,124.25783,1593,,109705317,524070262,480453720,300316365,593675968,486671559,304919660,38994819,171873993,.bcm,win32,1,31-Oct-2010,Russia,BWT + CM,3.66
LZMA,◦,"LZHAM α7r1 -m4 -d29 -e -x R. Geldreich, Jr.",☺,124.50221,10405,,88884166,528950524,495594431,310270236,573257031,485522129,357793035,37325895,192771132,.lzham,win64,8,15-Dec-2011,Russia & United States,LZ + Huffman + ARI + MARKOV,2.53
LZMA,◦,CSC 3.2 final (2011) -m3 -d512 -r Fu Siyuan,☺,124.71721,1209,,88534765,411371250,482105407,324170450,577523189,487374122,332646388,41620483,235589271,.csc3,win32,1,18-Aug-2011,China,LZ77 + ARI + filters,2.86
LZMA,◦,"LZHAM α6 -m4 -d29 -e -x R. Geldreich, Jr. ",☺,124.87475,7650,,88961163,537127392,499118240,310356437,573282323,485550450,357894064,37338554,192697401,.lzham,win64,8,10-Jan-2011,Russia & United States,LZ + Huffman + ARI + MARKOV,3.46
CM,◦,Distance Coder 1.24 -b16300el Edgar Binder,,125.04299,,,116635812,421314004,478896238,308597737,594394289,487528532,313543103,40462792,195272402,.dc,win32,1,12-Apr-2000,Germany,BWT + ARI + Distance Coding,14.21
LZMA,GUI,WinRar 5.0 solid best 1024MB E. Roshal,,125.08731,1156,358,90158844,432589940,504354380,331617046,575585759,487400203,346631781,39601660,218721519,.rar,win64,8,22-Aug-2013,Russia,LZ77 + Huffman + filter,0.84
LZMA,GUI,Free Zip Archiver 2.0.1.2 max Hamstersoft,,125.32985,,,80295152,542499471,500230528,321375512,581634110,489936161,365813900,36820961,202974954,.7z,win32,2,6-Mar-2012,United States,LZMA + filter,2.31
LZMA,◦,UHBC 1.0 ('03) -b128m -m3 Uwe Herklotz,,125.44342,,,108002392,528946894,487957436,300665961,587743831,485577118,311046550,38464708,187992164,.uhbc,dos16,1,30-Jun-2003,Germany,BWT + WFC + MTF,10.99
LZMA,GUI,M03 (2005) 32 MB Michael A. Maniscalco,,125.60268,,,108531937,532097101,482505605,302273608,594825412,490128616,317729374,38146497,182664270,.m03,win32,1,15-Feb-2005,United States,BWT,9.36
LZMA,◦,LZMA SDK 9.20 (2010) -d27 -fb273 I. Pavlov,☺,125.64327,,,88578383,541569322,500259902,311681734,581554823,489877140,366175283,36216616,197679384,.lzma,win32,2,18-Nov-2010,Russia,LZMA 9.20,3.61
LZMA,GUI,KuaiZip 2.3.2 (2011) best solid,,125.68009,2374,,81921732,541637746,500544087,322423957,581732635,489874761,365718716,37001167,202974906,.kz,win32,1,22-Sep-2011,China,LZMA (?),2.76
LZMA,◦,SMAC 1.20 (2014) Jean-Marie Barone,☺,126.19638,10982,,103436610,562984205,489531813,296380124,581170478,482917722,346571229,37057356,184851016,.sma,win32,1,2-Jan-2014,France,Fast CM,0.48
LZMA,◦,NanoZip 0.09 -cDP 2GB ('11) Sami Runsas,,126.22252,392,,95021017,357601959,520764815,326122831,574792742,486796795,288783661,44067167,264844379,.nz,win64,4,4-Nov-2011,Finland,LZHDS + filter,2.64
LZMA,◦,SMAC 1.19 (2013) Jean-Marie Barone,☺,126.32566,10869,,103593603,563091725,489903454,296796060,581210127,483008912,346818917,37158994,185164440,.sma,win32,1,13-Dec-2013,France,Fast CM,0.54
LZMA,◦,SMAC 1.18 (2013) Jean-Marie Barone,☺,126.3257,15301,,103593755,563091038,489903135,296796413,581210396,483009146,346818505,37159116,185164417,.sma,win32,1,7-Dec-2013,France,Fast CM,0.55
LZMA,GUI,WinZip 18.0 ZIPX best method - Corel Corp.,,126.41723,993,743,107598037,353119941,499808100,288191080,581665614,466061860,351596474,51599189,202715769,.zipx,win64,8,23-Oct-2013,United States,LZH + BZ2 + LZMA + LZMA2 + PPMd + WV + JPEG,0.68
CM,◦,UHARC 0.2 (1997) -m3 -md2048 -mm+ U. Herklotz,,126.49523,,,96421346,427704915,473765789,340795851,582621787,484745699,294683992,41208512,251404151,.uha,dos16,1,21-Dec-1997,Germany,ALZ3 (?),16.51
LZMA,◦,BSSC 0.95α  -b16383as Sergeo Sizikov,,126.56427,,,106488393,514610218,482648538,305387815,589828182,486063486,322682944,39476848,199433478,.bssc,win32,1,12-Mar-2005,Russia,BWT + DCE + filter,9.29
LZMA,GUI,Power Archiver 13.02.04  7z opt.ultra solid,,126.61163,2698,,82645296,606680942,499781278,308482141,577347120,487529751,366031819,36829715,196472264,.7z,win32,2,24-Sep-2012,United States,LZMA / PPMd,1.76
LZMA,◦,XZ 5.1.3 alpha -9 -e -T0 (2013) Lasse Collin,☺,126.75112,2194,351,89174836,542073960,499282256,316127380,577309560,487397416,366198176,36621412,203103192,.xz,win64,8,25-Nov-2013,Finland,LZMA2 + filter,0.59
LZMA,GUI,WinAce 2.5 - 2.69 max solid + f. M. Lemke,,126.78849,3309,,93533161,402349345,520115641,341769413,585010169,489126332,300556906,41761190,248471149,.ace,win32,1,28-Feb-2005,Germany,LZ77 + Huffman + filter,9.32
LZMA,◦,PPMVC 1.2 -o8 -m256 P. Skibinski,☺,126.90756,,,105065841,552136807,482698369,299863893,591019735,488092322,339815777,38169677,189600577,.pmv,win32,1,11-Jan-2007,Russia / Poland,PPM-II + VARIable Context,7.46
LZMA,◦,TC 5.1 Dev. 7x (512 MB) Ilya Muravyov,,127.0694,,,90373039,533692540,476837081,330228855,583742981,484319020,338880556,37469753,224269866,.tc,win32,1,3-Jan-2007,Russia,LZ with 512 MB dictionary,7.48
LZMA,GUI,LZIP 1.11 -9 (2010) Antonio Diaz Diaz,☺,127.10973,5912,396,90361782,542419333,500000209,316321162,582134631,489939093,367325538,36824254,206805927,.lz,win32,2,26-Sep-2010,- unknown -,LZMA,3.75
LZMA,◦,RINGS 2.0 -s -r -m7 (2013) Francesco Nania,,127.26989,1815,,115689544,406943112,475629327,323516471,586955935,483626079,297851879,53443936,175365258,.zpaq,win32,1,11-Jul-2013,Italy,BWT + ARI,0.96
LZMA,GUI,WinZip 16.0 - 17.5 .ZIPX Corel Corp.,,127.28627,1144,1107,113745713,353119941,499808100,287887660,583318308,466050207,351595430,51171467,202715409,.zipx,win64,8,17-Apr-2012,United States,LZH + BZ2 + LZMA + LZMA2 + PPMd + WV + JPEG,2.19
LZMA,GUI,M03 (2005) 8 MB Michael A. Maniscalco,,127.32185,,,110686632,537803423,478051361,307495411,596877061,489208756,319694127,38142148,195745327,.m03,win32,1,28-Jan-2005,United States,BWT,9.41
LZMA,◦,BALZ 1.11  Mode ex (2008) Ilya Muravyov,☺,127.33083,,,91437732,528099307,490572583,322583267,586053677,490499206,352840233,37346605,217554463,.balz,win32,1,29-May-2008,Russia,LZ77 (greedy parsing),6.08
LZMA,GUI,WinRar 4.20 solid best no PPMd E. Roshal,,127.47559,636,226,94055673,408840098,511441694,340923674,583872759,487786522,321674370,41152941,248944093,.rar,win64,8,3-May-2012,Russia,LZ77 + Huffman + filter,2.15
LZMA,◦,QLFC 6.6w (blocksize 200 MB) Florin Ghido,,127.6206,,,111882033,541403831,498385630,305738834,588307467,485795961,324433275,40260049,180487530,.gq,win32,1,7-Feb-2001,Romania,BWT + ARI,13.39
LZMA,GUI,WinZip 12.0.8252 optimize best  Corel Corp.,,127.66881,,,114068434,353119941,499941562,287992261,584523077,466234013,351717891,51958902,202715769,.zip,win32,1,10-Sep-2008,United States,LZH + SF + BWT + LZMA + PPMd,5.79
LZMA,◦,PPMonstr ver G -o16 -m256 ('00) D. Shkarin,,127.72137,,,108233769,559661105,485197621,304871365,607113152,490093603,337025048,37014952,188392580,.pmm,win32,1,26-Nov-2000,Russia,PPM-II,13.58
LZMA,GUI,B1 Free Archiver 1.4.67 (2013) ultra,☺,127.75225,3623,,90531315,541418792,501457181,319193219,581862268,490060333,366470831,37296432,211635644,.b1,win32,2,11-Oct-2013,United States,LZMA,0.71
LZMA,◦,BWCM c128 (2013) Nauful,,128.32156,4865,,112710682,526989975,488491347,305793155,597466988,491762627,308917391,41458908,182732499,.bwcm,win32,2,2-Dec-2013,United States,LZP + BWT + CM,0.57
LZMA,GUI,Squeez 4.20.440 ('03) 4MB max + filter,,128.39573,4127,,95661953,369832091,517199086,336725810,583950962,487687694,366830143,43625375,237630132,.sqx,win32,1,23-Jul-2003,Germany,LZ + filters,10.93
LZMA,◦,DARK 0.46 -b128mf1s2 (2006) D. Malyshev,,128.41545,,,113572641,547941949,499581603,305213200,595135649,490054574,326389070,40156755,180460007,.dark,win32,1,23-Aug-2006,Russia,BWT + Distance Coding,7.84
LZMA,◦,BMA 1.35 -m64m -mx -ax A. Cherenkov,,128.53243,3483,,109050502,396021787,478872414,322437857,580831147,483988300,325952081,54653845,191082735,.bma,win32,1,19-Jun-2008,Russia,BWT + MTF + RLE + ARI,6.02
LZMA,◦,M99 128 MB -m ('07) Michael A. Maniscalco,,128.61523,,,115809668,541800959,496664847,306068242,591972098,486794888,326725230,41197626,178185035,.m99,win32,1,27-Mar-2007,United States,BWT + MSufSort3.1 + ARI,7.25
LZMA,GUI,"ALZIP 8.5 .EGG solid, p. on ratio ESTSOFT",,129.09279,3438,,91625148,541831172,500777382,321995902,584408803,489807206,366440403,39225968,215667154,.egg,win32,1,7-Oct-2010,Korea,LZMA ?,3.72
LZMA,◦,M99 32 MB -m ('07) Michael A. Maniscalco,,129.17165,,,116097070,540862071,485630231,308767288,591173241,486368507,324381207,41294540,188852254,.m99,win32,1,27-Mar-2007,United States,BTW + MSufSort3.1 + ARI,7.25
LZMA,◦,YBS 0.03f -m16m Vadim Yoockin,,129.86338,,,119353441,543052963,482277855,308911519,601489992,490448245,321867467,39994251,194413052,.ybs,win32,1,22-Sep-2002,Russia,BWT + Distance Coding,11.76
LZMA,◦,DARK 0.50 -b200ms (2006) Dmitry Malyshev,,130.03169,,,115630396,542509538,477088827,309751586,593767607,488747044,321144028,42873280,195580747,.dark,win32,1,8-Oct-2006,Russia,BWT + Distance Coding,7.72
LZMA,◦,ABC 2.4 (2003) -c Jürgen Abel,,130.06467,,,115922733,542777545,479587507,311868301,593027830,485653639,323092232,40252099,206175132,.abc,win32,1,12-Oct-2003,Germany,"BWT + MTF, SiF, AWFC",10.71
LZMA,◦,MComp 2.00 -mc -M512m (2008) M. Taylor,,130.08571,,,113605203,530686585,485385486,306667317,590126320,485300139,331444892,41160241,209600275,.mcomp,win64,1,23-Aug-2008,New Zealand,experimental DMC,5.84
