ID,WRKSTAT,MARITAL,AGEWED,SIBS,CHILDS,AGE,BIRTHMO,ZODIAC,EDUC,DEGREE,PADEG,MADEG,SEX,RACE,INCOME91,RINCOM91,REGION,XNORCSIZ,SIZE,PARTYID,VOTE92,POLVIEWS,CAPPUN,GUNLAW,GRASS,RELIG,LIFE,CHLDIDEL,PILLOK,SEXEDUC,SPANKING,LETDIE1,NEWS,TVHOURS,BIGBAND,BLUGRASS,COUNTRY,BLUES,MUSICALS,CLASSICL,FOLK,JAZZ,OPERA,RAP,HVYMETAL,ATTSPRTS,VISITART,TVSHOWS,TVNEWS,TVPBS,SCITEST4,PARTNERS,SEXFREQ,DWELOWN,SEI,COHORT,INCOME4,DEGREE2,AGECAT4,POLITICS,REGION4,MARRIED,CLASSIC3,JAZZ3,RAP3,BLUES3
16,1,5,0,0,1,36,11,8,14,1,7,1,2,2,10,10,2,1,7072,1,4,3,2,0,8,1,0,1,2,1,1,2,2,2,4,4,3,2,4,5,5,1,5,2,5,2,2,2,2,4,8,1,6,2,"31,1",1957,1,0,2,2,1,2,3,1,1,1
17,7,5,0,98,4,39,3,12,8,0,9,0,2,2,5,0,2,1,7072,5,2,4,8,1,0,2,3,4,1,2,2,2,4,5,5,8,5,4,8,5,5,3,5,2,5,2,2,1,4,5,8,0,0,2,0,1954,1,0,2,3,1,2,3,2,1,3
18,1,1,22,9,0,55,1,10,15,1,1,0,1,3,22,22,2,1,7072,3,3,4,8,0,2,5,0,3,4,2,4,8,2,2,3,8,4,5,3,8,5,5,5,8,5,2,2,2,1,2,4,1,4,2,"64,8",1938,4,0,4,3,1,1,#NULO!,3,#NULO!,3
19,1,1,32,1,1,55,9,7,16,3,1,0,2,1,21,14,2,5,29,0,1,3,2,1,0,2,2,2,2,1,3,2,1,2,3,3,2,4,1,1,2,4,1,4,4,2,1,3,1,1,2,1,2,1,"38,4",1938,4,1,4,2,1,1,1,3,3,3
20,1,1,24,2,2,34,4,2,16,3,0,1,1,1,21,21,2,5,29,1,1,4,1,0,1,2,0,2,1,1,2,1,1,4,1,3,4,1,2,3,4,1,3,5,5,2,2,2,2,2,2,1,5,1,"45,7",1959,4,1,2,3,1,1,2,1,3,1
21,3,1,24,5,2,36,6,3,14,2,3,3,2,1,20,15,2,5,29,0,1,3,2,1,0,2,2,1,3,1,4,2,1,1,2,3,2,1,2,4,3,3,4,3,4,1,1,4,1,3,8,1,4,1,"73,2",1957,4,0,2,2,1,1,3,2,2,1
22,2,1,23,0,3,44,8,5,18,3,1,1,2,1,21,18,2,5,29,1,1,4,8,1,0,2,3,8,3,1,8,2,1,2,5,4,3,5,2,4,3,5,5,5,5,2,1,1,3,2,3,1,4,1,"64,4",1949,4,1,3,3,1,1,3,3,3,3
23,5,2,25,2,2,80,5,2,18,4,7,0,1,1,18,0,2,5,29,0,1,1,2,0,2,3,0,3,1,1,1,1,1,3,2,2,3,2,2,1,1,2,1,4,5,2,1,4,1,1,1,0,0,1,"80,3",1913,3,1,4,1,1,2,1,1,3,1
24,1,5,0,5,1,32,7,5,16,3,3,3,1,3,15,11,9,1,2967,0,3,3,2,0,1,2,0,4,2,1,3,1,4,3,8,8,2,2,3,2,2,2,3,4,4,1,2,1,1,4,3,1,4,2,"63,5",1961,2,1,2,2,4,2,1,1,3,1
25,2,1,32,7,4,37,9,6,5,0,0,0,1,3,13,4,9,1,2967,0,1,5,8,0,1,2,0,3,1,1,3,8,3,2,3,8,1,4,8,2,8,2,2,2,4,1,2,2,1,4,0,-1,-1,2,"27,5",1956,1,0,2,4,4,1,1,1,1,3
27,1,1,40,5,0,49,9,6,16,3,3,3,2,3,16,15,9,1,2967,6,1,5,1,0,2,2,0,3,2,8,3,2,3,3,3,3,2,2,2,2,2,2,2,3,4,2,2,2,1,2,2,1,1,2,39,1944,2,1,3,4,4,1,1,1,2,1
28,1,3,16,6,2,45,11,9,16,3,1,7,2,3,20,20,9,1,2967,1,1,3,2,1,8,2,2,-1,0,0,0,0,0,2,8,8,3,2,2,2,3,1,2,8,8,2,1,2,1,1,9,1,2,0,67,1948,4,1,3,2,4,2,1,1,#NULO!,1
29,1,5,0,2,0,36,4,2,18,3,1,4,2,1,16,9,9,1,2967,0,1,2,2,1,1,1,2,-1,0,0,0,0,0,2,2,2,3,2,2,1,2,1,1,3,3,1,1,2,2,3,2,1,5,0,"50,7",1957,2,1,2,1,4,2,1,1,2,1
30,2,5,0,5,0,23,3,1,16,1,7,3,2,2,9,5,9,1,2967,0,1,2,2,0,1,1,0,8,1,1,2,1,4,1,3,3,3,1,2,1,2,1,3,3,3,2,1,3,2,4,1,3,3,2,"36,7",1970,1,0,1,1,4,2,1,1,2,1
31,1,5,0,1,0,29,5,2,16,4,3,3,1,1,19,19,9,1,2967,0,1,2,2,1,2,1,3,-1,0,0,0,0,0,3,2,3,2,1,2,2,4,1,3,5,5,1,1,3,1,1,1,1,5,0,"92,3",1964,3,1,1,1,4,2,1,1,3,1
32,1,5,0,3,1,30,2,11,14,2,1,0,2,2,16,16,9,1,7072,1,1,4,1,1,0,1,2,2,1,1,1,1,2,2,8,8,2,2,4,4,4,2,3,4,3,2,2,1,1,2,4,1,4,2,"51,9",1963,2,0,2,3,4,2,3,1,3,1
33,1,5,0,8,1,40,7,4,16,3,0,1,2,2,16,16,9,1,2967,2,1,2,1,2,2,2,3,-1,0,0,0,0,0,2,2,3,3,2,1,1,2,1,1,2,2,2,1,2,2,1,1,1,5,0,"50,5",1953,2,1,3,1,4,2,1,1,1,1
34,1,5,0,8,2,26,8,6,11,0,1,1,2,1,16,11,9,3,31,5,2,6,8,0,8,1,0,4,2,1,3,1,4,1,2,2,3,2,4,5,4,4,5,5,3,1,2,2,2,3,4,1,3,2,"36,5",1967,2,0,1,5,4,2,3,3,3,1
35,5,1,21,3,4,66,2,12,12,1,0,0,1,1,21,0,9,3,31,0,1,5,1,0,2,4,0,2,4,1,1,1,1,3,1,3,4,2,5,3,4,1,5,5,5,2,1,1,1,2,1,1,6,1,"32,7",1927,4,0,4,4,4,1,2,1,3,1
36,4,1,22,11,1,53,10,8,14,1,1,1,2,3,18,10,9,3,31,0,2,6,1,0,2,2,0,3,4,1,1,2,2,2,1,4,1,4,1,1,2,1,2,5,5,2,1,3,1,1,4,1,2,1,38,1940,3,0,4,5,4,1,1,1,3,3
37,2,1,19,2,0,20,12,9,12,1,0,0,2,3,8,2,9,3,31,4,1,4,1,1,0,2,3,3,2,1,1,1,2,3,3,3,8,3,8,2,8,3,8,3,2,1,1,2,1,2,2,1,4,1,"80,9",1973,1,0,1,3,4,1,1,2,2,2
38,1,3,24,4,2,63,7,4,12,1,0,0,2,1,9,9,9,3,31,1,1,5,1,1,2,2,2,-1,0,0,0,0,0,4,1,1,1,2,1,1,1,3,1,5,5,1,1,1,1,3,4,0,0,0,"37,3",1930,1,0,4,4,4,2,1,2,3,1
39,2,1,28,7,3,41,9,6,6,0,0,0,1,3,16,16,9,3,31,1,2,5,1,1,0,2,2,3,3,1,1,1,3,2,2,8,1,5,2,2,1,4,5,5,5,1,1,5,1,2,2,1,4,1,30,1952,2,0,3,4,4,1,1,3,3,3
40,1,3,19,3,1,33,8,5,14,1,2,2,2,1,20,17,9,3,75,0,1,6,2,1,1,1,3,-1,0,0,0,0,0,1,3,4,3,2,2,2,3,1,4,3,3,1,1,4,2,4,0,-1,-1,0,51,1960,4,0,2,5,4,2,1,1,2,1
41,1,1,24,4,2,34,1,10,12,1,0,8,1,3,15,12,9,3,75,1,1,4,1,1,2,2,3,-1,0,0,0,0,0,3,2,4,2,2,2,2,2,2,2,4,4,1,2,2,1,3,2,0,3,0,"63,5",1959,2,0,2,3,4,1,1,1,3,1
42,1,1,20,5,4,61,7,4,16,3,3,3,2,3,17,13,9,3,75,6,3,4,1,1,0,2,3,3,4,1,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,5,1,0,0,2,"29,3",1932,2,1,4,3,4,1,1,1,1,1
43,2,1,26,2,0,29,6,3,18,4,3,0,2,1,19,18,9,3,75,1,1,4,1,1,0,5,3,2,8,1,2,1,2,2,4,2,2,2,2,2,4,2,4,4,3,2,1,2,1,1,0,-1,-1,1,"74,6",1964,3,1,1,3,4,1,1,1,3,1
44,1,5,0,4,0,45,2,11,13,1,1,1,2,1,20,20,9,3,75,5,1,6,1,2,0,2,3,2,3,2,2,2,5,4,2,2,1,2,2,1,2,3,4,3,5,1,1,1,1,4,2,2,5,1,"64,2",1948,4,0,3,5,4,2,1,2,2,1
45,1,5,0,2,0,31,3,1,14,1,0,0,1,1,18,18,9,3,75,6,1,6,1,2,1,1,3,-1,0,0,0,0,0,2,3,3,2,2,3,3,3,3,3,4,4,1,1,1,1,4,3,5,4,0,"76,4",1962,3,0,2,5,4,2,2,2,3,1
47,1,1,26,1,1,28,4,1,18,4,0,0,1,1,17,17,9,3,75,1,4,4,8,1,0,5,9,2,2,1,8,1,2,1,2,3,2,2,1,1,1,1,2,5,4,1,1,4,1,2,4,1,4,1,67,1965,2,1,1,3,4,1,1,1,3,1
48,1,3,21,2,0,34,7,5,18,4,1,1,2,1,18,18,9,3,75,1,1,2,2,1,1,1,3,-1,0,0,0,0,0,2,2,3,3,2,2,2,4,4,4,4,4,1,2,4,2,3,1,4,3,0,"63,2",1959,3,1,2,1,4,2,1,3,3,1
49,1,3,21,2,2,45,4,1,13,1,1,1,2,1,18,18,3,3,66,1,1,4,1,1,0,4,3,1,8,1,1,1,4,1,2,4,3,2,1,2,2,1,2,5,5,2,1,2,1,4,8,1,4,2,"43,7",1948,3,0,3,3,2,2,1,1,3,1
50,1,3,21,0,0,35,7,4,16,3,4,1,2,1,19,19,3,3,66,5,1,5,1,0,2,1,0,2,2,1,3,2,1,2,4,4,4,2,2,1,3,1,4,4,3,1,1,3,1,2,4,0,0,2,"63,5",1958,3,1,2,4,2,2,1,1,3,1
51,1,5,0,1,0,48,6,3,16,3,8,1,1,1,19,19,3,3,66,2,1,4,1,2,1,4,3,-1,0,0,0,0,0,1,2,5,3,3,2,1,1,2,1,5,5,2,1,4,1,1,3,1,4,0,81,1945,3,1,3,3,2,2,1,1,3,2
53,1,3,17,21,8,39,3,12,19,4,3,4,1,2,19,16,3,3,37,2,1,3,1,1,0,1,3,8,1,1,1,1,1,2,1,3,3,1,2,2,2,1,2,4,5,1,1,2,1,2,2,99,6,1,"63,5",1954,3,1,2,2,2,2,1,1,3,1
54,8,5,0,3,0,20,6,4,13,1,1,0,1,2,19,0,3,3,37,0,2,6,1,1,2,1,3,-1,0,0,0,0,0,3,8,8,8,5,2,2,5,5,5,5,5,1,2,2,1,1,3,0,0,0,0,1973,3,0,1,5,2,2,1,3,3,3
55,1,1,19,6,3,27,9,6,15,1,1,1,2,2,11,4,3,1,3006,0,1,6,8,1,2,1,1,-1,0,0,0,0,0,2,3,8,3,2,2,2,2,2,2,4,4,2,2,4,1,3,1,1,2,0,"38,4",1966,1,0,1,5,2,1,1,1,3,1
56,1,5,0,1,0,36,10,7,12,1,7,0,1,1,8,6,3,3,37,0,1,2,1,1,0,1,2,3,1,1,3,1,2,3,2,2,2,1,3,3,3,3,4,4,3,2,2,2,1,2,3,-1,-1,3,"28,4",1957,1,0,2,1,2,2,2,2,3,1
57,5,1,24,6,2,78,2,11,15,3,0,0,1,1,19,0,3,1,3006,4,1,6,8,1,0,2,3,4,4,2,2,2,2,1,1,4,2,2,2,1,4,4,2,5,5,2,2,3,1,3,9,0,0,1,"45,9",1915,3,1,4,5,2,1,1,3,3,1
58,1,5,0,2,0,42,7,4,12,1,7,1,2,3,16,16,3,1,3006,0,1,6,2,1,0,2,3,2,1,1,2,2,1,2,2,3,1,2,2,2,3,1,4,4,4,1,2,2,1,3,2,0,0,1,"36,1",1951,2,0,3,5,2,2,1,1,3,1
59,1,1,19,2,3,31,11,8,16,3,7,0,2,1,16,11,3,1,3006,5,1,4,2,1,2,1,2,-1,0,0,0,0,0,1,4,8,2,8,3,2,2,5,2,5,4,2,1,5,4,3,4,1,2,0,"29,3",1962,2,1,2,3,2,1,1,3,3,#NULO!
60,1,5,0,8,0,44,5,3,16,3,0,0,2,3,18,13,3,1,3006,1,1,5,8,0,2,2,0,3,3,8,4,8,3,3,1,2,2,3,1,1,1,1,2,1,3,2,2,2,1,3,1,0,0,1,38,1949,3,1,3,4,2,2,1,1,1,2
61,1,1,24,5,3,39,4,2,12,1,0,0,1,1,18,13,3,1,3006,1,2,5,1,2,0,2,2,3,4,1,3,2,1,2,4,4,3,4,4,2,2,4,3,5,5,2,1,4,1,2,3,1,6,1,"28,4",1954,3,0,2,4,2,1,1,3,3,3
62,7,5,0,3,1,19,4,1,11,0,7,0,2,1,1,0,3,1,3006,0,2,4,1,1,0,4,1,2,1,1,3,1,4,10,8,8,4,2,8,5,8,2,2,1,5,2,2,1,4,1,8,1,3,2,0,1974,1,0,1,3,2,2,3,1,1,1
63,7,1,24,3,1,37,6,4,12,1,1,1,2,1,19,0,3,1,3006,1,1,2,1,0,1,2,0,3,2,1,4,1,1,6,1,2,2,2,1,1,3,2,3,3,3,2,2,2,1,1,2,1,3,1,38,1956,3,0,2,1,2,1,1,1,2,1
64,7,1,21,3,2,48,12,10,16,3,8,1,2,1,21,0,3,1,3006,0,1,1,2,1,2,1,3,-1,0,0,0,0,0,1,2,2,2,2,1,1,2,1,1,4,4,1,1,4,1,4,8,1,5,0,"78,5",1945,4,1,3,1,2,1,1,1,3,1
65,1,1,18,4,2,39,9,6,15,1,8,0,2,1,21,17,3,1,3006,3,1,4,1,0,2,2,0,2,2,1,3,1,4,1,8,2,1,2,3,3,2,1,8,4,4,2,2,2,1,2,1,1,4,1,"45,4",1954,4,0,2,3,2,1,2,1,3,1
66,1,1,22,3,2,45,11,9,14,1,1,0,1,2,21,17,3,1,3006,4,1,5,1,1,2,1,3,-1,0,0,0,0,0,3,4,8,2,2,3,1,4,1,3,2,3,1,2,2,1,1,2,1,5,0,"45,8",1948,4,0,3,4,2,1,1,1,1,1
67,1,1,23,1,3,46,8,6,20,4,0,7,1,1,21,21,3,1,3006,1,1,2,2,1,0,1,3,3,1,1,2,1,1,1,2,2,2,2,1,1,2,3,3,3,3,1,1,4,1,1,4,1,3,1,"92,3",1947,4,1,3,1,2,1,1,2,2,1
68,1,5,0,1,0,23,3,1,16,3,4,4,2,1,21,15,3,1,3006,5,1,3,1,1,0,2,3,2,1,1,3,1,1,1,4,2,3,2,3,2,4,2,3,3,4,1,1,3,3,4,1,1,6,1,"60,4",1970,4,1,1,2,2,2,1,1,2,1
69,2,1,22,1,2,37,9,7,16,3,1,1,2,1,21,9,3,1,3006,0,1,2,2,1,0,2,3,2,2,1,3,2,1,2,2,3,1,4,3,3,5,3,4,4,5,1,1,2,2,2,2,2,2,1,"64,2",1956,4,1,2,1,2,1,2,2,3,3
70,1,5,0,3,0,27,6,4,13,1,1,1,1,1,19,17,3,3,43,2,2,5,1,1,1,2,2,-1,0,0,0,0,0,3,4,2,3,1,4,3,4,3,4,4,4,1,2,1,1,2,3,1,3,0,"48,9",1966,3,0,1,4,2,2,2,2,3,1
71,1,5,0,3,0,23,8,5,16,3,7,1,2,1,17,4,3,3,43,1,1,2,1,1,0,2,3,3,2,1,3,1,2,1,3,3,3,3,2,3,3,3,4,3,3,1,1,3,2,4,2,2,2,1,"34,8",1970,2,1,1,1,2,2,2,2,2,2
72,1,1,22,2,2,31,5,3,16,3,3,2,1,1,17,14,3,3,43,6,1,5,1,1,1,1,3,-1,0,0,0,0,0,1,2,3,4,1,5,1,2,1,8,3,2,1,1,2,1,2,2,-1,-1,0,81,1962,2,1,2,4,2,1,1,1,2,1
73,7,1,24,2,2,30,4,1,14,2,1,1,2,1,19,0,3,3,43,5,1,4,1,1,0,1,2,2,1,1,4,1,3,2,2,3,1,2,4,2,5,2,2,3,5,2,2,2,1,3,9,1,3,1,"39,6",1963,3,0,2,3,2,1,1,1,2,1
74,5,1,22,3,3,77,8,5,16,3,0,0,1,1,19,0,3,3,43,6,1,6,1,1,0,1,2,2,3,1,2,1,1,4,1,3,3,8,2,2,3,2,3,8,5,1,2,2,1,2,2,1,0,1,"87,9",1916,3,1,4,5,2,1,1,1,#NULO!,#NULO!
75,2,1,23,2,3,41,11,8,13,1,0,8,1,2,19,12,2,1,1688,3,1,7,1,1,2,1,3,-1,0,0,0,0,0,8,8,8,8,1,2,8,8,1,8,2,8,1,1,2,1,2,4,1,5,0,51,1952,3,0,3,5,1,1,#NULO!,1,1,1
76,2,2,35,3,0,70,4,1,12,0,7,0,2,2,10,9,2,1,1688,0,1,4,1,1,2,1,3,-1,0,0,0,0,0,4,1,3,2,1,2,8,3,8,3,3,5,2,2,2,1,3,8,0,0,0,"29,3",1923,1,0,4,3,1,2,#NULO!,#NULO!,2,1
77,5,2,25,5,1,81,11,8,8,0,0,8,1,2,11,0,2,1,1688,1,1,7,1,0,2,1,0,2,1,1,8,2,1,1,1,4,2,1,3,2,4,2,1,5,5,1,1,2,1,2,3,0,0,1,0,1912,1,0,4,5,1,2,1,1,3,1
78,4,1,25,8,3,41,12,9,12,1,1,1,1,2,17,10,2,1,1688,1,1,4,1,0,2,5,0,3,3,1,3,2,2,10,3,4,4,2,3,3,3,1,3,3,4,1,2,2,2,2,3,0,0,1,"44,4",1952,2,0,3,3,1,1,2,1,2,1
79,7,3,17,9,4,41,3,12,12,1,8,0,2,2,8,0,2,1,1688,0,1,1,1,1,0,1,2,4,4,1,2,1,2,5,3,3,2,2,3,3,3,1,4,2,4,2,2,2,1,1,4,1,5,1,0,1952,1,0,3,1,1,2,2,1,1,1
80,5,2,20,9,5,69,3,1,12,0,0,0,2,2,2,0,2,3,85,1,2,3,2,0,2,1,0,2,8,1,1,2,3,2,1,8,3,4,8,4,5,8,4,5,4,2,2,1,1,1,2,0,0,1,"21,2",1924,1,0,4,2,1,2,3,#NULO!,3,3
81,4,5,0,2,2,41,7,4,12,1,7,0,2,2,5,0,2,3,85,0,2,4,1,1,0,1,2,2,2,1,1,1,1,5,3,3,5,2,2,8,4,1,4,5,5,2,2,3,2,2,8,1,6,1,"26,7",1952,1,0,3,3,1,2,#NULO!,1,3,1
82,7,1,30,1,1,32,8,5,9,0,0,0,2,3,8,0,2,3,85,5,2,5,2,2,2,2,1,-1,0,0,0,0,0,2,4,2,2,2,8,2,3,2,2,2,4,1,2,4,1,1,2,-1,-1,0,"22,7",1961,1,0,2,4,1,1,1,1,1,1
83,1,1,22,1,1,29,6,3,14,2,7,3,2,2,14,12,2,3,85,1,2,4,1,0,2,1,0,1,1,2,1,2,4,1,8,8,4,4,2,2,4,2,2,5,5,1,1,4,4,3,4,1,5,2,"63,2",1964,1,0,1,3,1,1,1,1,3,3
84,3,5,0,2,2,51,8,5,13,1,1,1,2,2,12,12,2,3,85,1,1,4,1,1,1,2,3,-1,0,0,0,0,0,2,1,8,3,2,1,2,5,1,3,5,5,2,2,2,1,3,3,0,0,0,38,1942,1,0,4,3,1,2,1,1,3,1
85,1,1,22,0,0,35,7,4,16,3,1,1,1,1,20,16,2,3,59,5,1,3,1,0,2,4,0,2,3,1,2,1,3,3,2,3,3,1,2,2,3,1,2,2,2,1,1,2,1,2,8,1,3,1,"63,5",1958,4,1,2,2,1,1,1,1,1,1
86,1,1,25,3,1,36,7,4,14,1,0,1,1,1,19,18,2,3,59,2,1,3,1,2,1,2,2,-1,0,0,0,0,0,4,2,3,4,4,5,3,3,5,4,3,3,1,1,2,1,1,3,1,4,0,"31,5",1957,3,0,2,2,1,1,2,3,2,3
87,1,1,27,2,2,41,12,10,12,1,1,1,1,1,17,17,2,3,59,2,1,4,1,0,1,1,0,2,4,1,2,1,3,4,2,3,3,4,2,4,3,3,5,5,5,1,2,1,2,1,2,1,4,1,"36,5",1952,2,0,3,3,1,1,3,2,3,3
88,1,5,0,1,0,62,3,12,18,3,0,8,2,1,12,12,2,3,59,5,1,7,1,1,2,1,2,-1,0,0,0,0,0,2,2,8,3,3,2,1,2,3,1,3,5,1,1,2,1,1,4,0,0,0,"78,5",1931,1,1,4,5,1,2,1,2,2,2
89,1,1,21,1,2,44,11,9,12,1,0,1,1,1,21,21,2,3,59,5,1,5,2,0,2,1,0,2,4,1,1,1,3,2,2,2,2,2,3,2,2,3,4,5,5,2,2,3,3,3,2,1,4,1,"53,3",1949,4,0,3,4,1,1,1,2,3,1
90,7,1,22,5,7,64,2,12,12,1,1,0,2,1,12,0,2,3,59,6,1,4,1,1,0,1,3,5,3,2,2,2,1,4,1,3,2,4,1,2,3,4,5,5,5,1,1,2,1,3,9,1,9,1,"30,7",1929,1,0,4,3,1,1,1,3,3,3
91,1,1,30,3,9,49,2,11,15,1,8,0,1,1,19,18,3,3,19,4,1,5,1,1,0,1,3,2,2,1,4,1,2,1,2,8,3,3,2,3,3,2,5,4,4,1,2,2,1,4,2,1,3,1,"48,9",1944,3,0,3,4,2,1,2,1,3,2
92,1,5,0,4,0,62,11,9,12,1,1,7,2,1,17,15,3,3,19,5,1,6,1,1,2,2,2,-1,0,0,0,0,0,1,1,3,2,3,2,2,3,2,2,5,5,2,1,2,1,3,3,0,2,0,"38,4",1931,2,0,4,5,2,2,1,1,3,2
93,5,1,21,1,4,62,3,1,18,4,0,1,2,1,20,10,3,3,19,3,1,4,2,0,2,2,0,9,3,1,3,2,1,1,2,3,3,8,2,2,2,2,3,8,4,1,1,3,1,3,1,1,2,1,"80,3",1931,4,1,4,3,2,1,1,1,#NULO!,#NULO!
94,2,1,29,2,1,49,12,10,13,1,3,1,2,1,22,22,3,3,19,0,1,4,1,1,0,2,3,2,2,1,3,9,2,2,2,2,3,3,1,4,2,3,2,4,5,1,2,3,2,4,2,1,2,1,"33,1",1944,4,0,3,3,2,1,3,2,3,2
95,6,3,22,2,2,49,6,3,15,2,1,3,2,1,17,0,3,3,19,5,1,5,1,1,0,2,3,9,2,1,4,1,3,3,1,2,1,2,1,2,2,2,3,3,4,2,1,1,3,5,3,0,0,1,"36,1",1944,2,0,3,4,2,2,1,1,2,1
96,1,1,26,1,2,45,6,3,18,4,4,1,1,1,21,21,3,3,19,5,1,3,8,0,2,1,0,9,3,1,2,1,1,2,3,3,3,3,4,3,2,2,4,5,4,1,2,2,2,2,9,1,3,1,"76,4",1948,4,1,3,2,2,1,2,1,3,2
97,5,2,30,0,1,75,5,3,16,3,0,0,1,1,17,0,3,3,19,4,1,4,1,1,0,2,2,2,4,8,2,2,1,3,2,3,3,2,2,1,3,2,2,2,4,1,2,1,1,5,8,0,0,1,"76,4",1918,2,1,4,3,2,2,1,1,1,1
